user_id,followers,topics
authority_001,1200,"High Fashion,Luxury Brands"
authority_002,800,Capsule Wardrobe
user_001,60,Gender-Neutral Fashion
user_002,50,Upcycled Fashion
user_003,40,Minimalist Fashion
user_006,2046,"Fashion NFTs,Capsule Wardrobe"
user_007,747,"Monochrome Outfits,Minimalist Fashion,Influencer Style,Fashion NFTs,Fashion Resale"
user_008,396,"Ethical Fashion,Fashion Sustainability,Color Blocking"
user_009,523,"Layering Techniques,Fashion Hacks,Upcycled Fashion,Virtual Fashion Shows"
user_010,2199,"Influencer Style,Streetwear,Fashion NFTs,Ethical Fashion"
user_011,1401,"Monochrome Outfits,Athleisure Wear"
user_012,760,Layering Techniques
user_013,1520,Capsule Wardrobe
user_014,1566,"Fast Fashion,Color Blocking,Luxury Brands,Seasonal Trends"
user_015,2417,"Fashion Week Highlights,Sustainable Fashion,Influencer Style,Capsule Wardrobe"
user_016,1717,Fashion Week Highlights
user_017,2112,"High Fashion,Retro Fashion,Digital Fashion,Fashion Hacks,Statement Pieces"
user_018,1139,"Minimalist Fashion,Seasonal Trends"
user_019,2118,"Luxury Brands,Digital Fashion,Fashion Sustainability"
user_020,857,"Capsule Wardrobe,Digital Fashion"
user_021,309,Bohemian Style
user_022,1160,"Digital Fashion,Layering Techniques,Street Style,Minimalist Fashion"
user_023,1929,"Influencer Style,Gender-Neutral Fashion,Bohemian Style,Digital Fashion"
user_024,761,"High Fashion,Vintage Fashion,Athleisure"
user_025,1789,"Ethical Fashion,Gender-Neutral Fashion,Color Blocking,Fashion Week Highlights,Influencer Style"
user_026,1978,"High Fashion,Vintage Fashion"
user_027,869,Seasonal Trends
user_028,338,"Athleisure Wear,Capsule Wardrobe,Streetwear,Statement Pieces"
user_029,1249,"Digital Fashion,Fashion Hacks,Athleisure,Influencer Style,Virtual Fashion Shows"
user_030,381,"Bohemian Style,Gender-Neutral Fashion,High Fashion"
user_031,2139,"Fashion Hacks,Seasonal Trends"
user_032,2130,Fashion Collaborations
user_033,1667,"Virtual Fashion Shows,Street Style,Luxury Brands,Color Blocking,Minimalist Fashion"
user_034,416,"Upcycled Fashion,Statement Pieces,Luxury Brands"
user_035,732,"Digital Fashion,Bohemian Style"
user_036,767,"Bohemian Style,Layering Techniques,Luxury Brands,Retro Fashion,Ethical Fashion"
user_037,2316,"Virtual Fashion Shows,Influencer Style,High Fashion"
user_038,1193,"Athleisure Wear,Athleisure,Virtual Fashion Shows,Street Style,Minimalist Fashion"
user_039,1463,"Fast Fashion,Digital Fashion"
user_040,1879,"Fashion Collaborations,Digital Fashion,Statement Pieces,Fashion Week Highlights,Fast Fashion"
user_041,960,"Monochrome Outfits,Bohemian Style,Retro Fashion,Digital Fashion,Vintage Fashion"
user_042,1805,"Streetwear,Fashion Resale,Fast Fashion"
user_043,1899,"Minimalist Fashion,Gender-Neutral Fashion"
user_044,295,"Fashion Sustainability,Vintage Fashion"
user_045,1758,"Fashion Hacks,Statement Pieces,Gender-Neutral Fashion,Athleisure Wear,Retro Fashion"
user_046,1863,"Fashion Collaborations,Fashion Sustainability,Streetwear,Layering Techniques,Fashion NFTs"
user_047,2256,"Upcycled Fashion,Street Style,Virtual Fashion Shows,Luxury Brands"
user_048,461,"Fast Fashion,Streetwear,Statement Pieces,Influencer Style"
user_049,1989,"Minimalist Fashion,Luxury Brands,Influencer Style,Layering Techniques,Virtual Fashion Shows"
user_050,434,"Influencer Style,Fashion Week Highlights,Minimalist Fashion,Fashion Collaborations,Fast Fashion"
user_051,1510,"Street Style,Fashion Collaborations,Vintage Fashion,Minimalist Fashion,Fashion Hacks"
user_052,2073,Influencer Style
user_053,1992,"Streetwear,Capsule Wardrobe"
user_054,225,"Layering Techniques,High Fashion"
user_055,1686,"Gender-Neutral Fashion,Layering Techniques,Fashion Sustainability,Fast Fashion,Color Blocking"
user_056,1667,"Fashion Hacks,Color Blocking,Sustainable Fashion,Athleisure,Monochrome Outfits"
user_057,2037,"Digital Fashion,Influencer Style"
user_058,1983,"Gender-Neutral Fashion,Statement Pieces,High Fashion,Luxury Brands"
user_059,218,"Layering Techniques,Virtual Fashion Shows,Street Style,Influencer Style"
user_060,91,"Monochrome Outfits,Statement Pieces,Fast Fashion,Layering Techniques"
user_061,717,"Fashion Resale,Upcycled Fashion,Athleisure,High Fashion"
user_062,1507,"Retro Fashion,Luxury Brands"
user_063,481,"Fashion Hacks,High Fashion,Upcycled Fashion,Capsule Wardrobe,Seasonal Trends"
user_064,2380,"Capsule Wardrobe,Fashion Week Highlights"
user_065,2499,"Monochrome Outfits,Fashion NFTs,Gender-Neutral Fashion"
user_066,480,"High Fashion,Minimalist Fashion,Fashion Hacks"
user_067,1505,"Fast Fashion,Athleisure,Fashion Collaborations,Street Style,Layering Techniques"
user_068,1133,Gender-Neutral Fashion
user_069,1884,"Fashion Week Highlights,Fashion Hacks,Fashion Collaborations"
user_070,725,"Capsule Wardrobe,High Fashion,Influencer Style"
user_071,1770,"Layering Techniques,Street Style,Fashion Sustainability,Fashion Week Highlights"
user_072,1241,"Fast Fashion,Statement Pieces,Vintage Fashion,Influencer Style,Fashion NFTs"
